timestamp,tank_liquidlevel,tank_upperbound,tank_lowerbound,flowlevel,sensor2_thresh,bottle_liquidlevel,bottle_upperbound,bottle_lowerbound,motor_status,class,attack_type
35:12.2,2.521990741,5.81,0.3,1.952397466,3,0.635185182,0.9,0,1,anomaly,Scaling
35:16.3,2.351851852,5.81,0.3,1.765612245,3,0.907407403,0.9,0,0,anomaly,Scaling
35:20.5,2.227083333,5.81,0.3,-0.304745018,3,0.068055555,0.9,0,1,anomaly,Scaling
35:24.7,2.181712963,5.81,0.3,1.694720268,3,0.294907421,0.9,0,1,anomaly,Scaling
35:29.0,2.000231481,5.81,0.3,1.711580515,3,0.589814842,0.9,0,1,anomaly,Scaling
35:34.3,1.830092593,5.81,0.3,1.723810673,3,0.907407403,0.9,0,0,anomaly,Scaling
35:42.4,1.671296296,5.81,0.3,-0.779007912,3,0.068055555,0.9,0,1,anomaly,Scaling
35:49.2,1.614583333,5.81,0.3,2.111557245,3,0.340277791,0.9,0,1,anomaly,Scaling
35:54.4,1.353703704,5.81,0.3,1.533609152,3,0.862037063,0.9,0,1,anomaly,Scaling
36:00.8,1.149537037,5.81,0.3,1.713441372,3,0.113425925,0.9,0,1,anomaly,Scaling
36:06.0,0.9,5.81,0.3,1.699948192,3,0.612500012,0.9,0,1,anomaly,Scaling
36:12.0,0.684490741,5.81,0.3,1.665766239,3,0.907407403,0.9,0,0,anomaly,Scaling
36:18.0,0.514351852,5.81,0.3,-0.143723086,3,0.204166666,0.9,0,1,anomaly,Scaling
36:23.9,0.457638889,5.81,0.3,2.353047132,3,0.453703701,0.9,0,1,anomaly,Scaling
36:29.9,0.298842593,5.81,0.3,1.937286973,3,0.862037063,0.9,0,0,anomaly,Scaling
36:35.3,5.788657407,5.81,0.3,-0.046822809,3,0.862037063,0.9,0,1,anomaly,Scaling
36:40.6,5.731944444,5.81,0.3,1.717852831,3,0.907407403,0.9,0,0,anomaly,Scaling
36:48.4,5.573148148,5.81,0.3,-0.894327223,3,0.181481481,0.9,0,1,anomaly,Scaling
36:54.7,5.505092593,5.81,0.3,2.126260996,3,0.453703701,0.9,0,1,anomaly,Scaling
37:01.0,5.255555556,5.81,0.3,2.231648684,3,0.907407403,0.9,0,0,anomaly,Scaling
37:07.7,5.062731481,5.81,0.3,-0.607736111,3,0.09074074,0.9,0,1,anomaly,Scaling
37:13.6,4.994675926,5.81,0.3,1.62560904,3,0.362962961,0.9,0,1,anomaly,Scaling
37:18.9,4.756481481,5.81,0.3,2.450000048,3,0.862037063,0.9,0,1,normal,nil
37:24.2,4.540972222,5.81,0.3,2.450000048,3,0.181481481,0.9,0,1,normal,nil
37:29.7,4.325462963,5.81,0.3,2.450000048,3,0.635185182,0.9,0,1,normal,nil
37:35.0,4.098611111,5.81,0.3,2.450000048,3,0.907407403,0.9,0,0,normal,nil
37:40.6,3.939814815,5.81,0.3,0,3,0.113425925,0.9,0,1,normal,nil
37:45.9,3.883101852,5.81,0.3,2.450000048,3,0.362962961,0.9,0,1,normal,nil
37:51.2,3.667592593,5.81,0.3,2.450000048,3,0.816666663,0.9,0,1,normal,nil
37:56.5,3.452083333,5.81,0.3,2.450000048,3,0.13611111,0.9,0,1,normal,nil
38:01.8,3.236574074,5.81,0.3,2.450000048,3,0.567129612,0.9,0,1,normal,nil
38:07.1,3.021064815,5.81,0.3,2.450000048,3,0.907407403,0.9,0,0,normal,nil
38:12.6,2.850925926,5.81,0.3,0,3,0.068055555,0.9,0,1,anomaly,Scaling
38:18.1,2.794212963,5.81,0.3,2.450000048,3,-0.413726568,0.9,0,1,anomaly,Scaling
38:23.4,2.578703704,5.81,0.3,2.450000048,3,0.437216192,0.9,0,1,anomaly,Scaling
38:28.9,2.363194444,5.81,0.3,2.450000048,3,-0.341630816,0.9,0,1,anomaly,Scaling
38:34.7,2.136342593,5.81,0.3,2.450000048,3,0.184032992,0.9,0,1,anomaly,Scaling
38:39.9,1.898148148,5.81,0.3,2.450000048,3,0.716842592,0.9,0,1,anomaly,Scaling
38:45.1,1.693981481,5.81,0.3,2.450000048,3,-0.091590971,0.9,0,1,anomaly,Scaling
38:50.2,1.478472222,5.81,0.3,2.450000048,3,-0.159960762,0.9,0,1,anomaly,Scaling
38:55.5,1.274305556,5.81,0.3,2.450000048,3,0.153832823,0.9,0,1,anomaly,Scaling
39:00.8,1.058796296,5.81,0.3,2.450000048,3,0.254940033,0.9,0,1,anomaly,Scaling
39:06.1,0.843287037,5.81,0.3,2.450000048,3,0.333647579,0.9,0,1,anomaly,Scaling
39:11.2,0.627777778,5.81,0.3,2.450000048,3,-0.146558538,0.9,0,1,anomaly,Scaling
39:16.4,0.423611111,5.81,0.3,2.450000048,3,0.421440601,0.9,0,1,anomaly,Scaling
39:22.3,0.298842593,5.81,0.3,0,3,0.901885748,0.9,0,0,anomaly,Scaling
39:27.7,5.8,5.81,0.3,0,3,-0.803199112,0.9,0,1,anomaly,Scaling
39:33.0,5.743287037,5.81,0.3,2.450000048,3,-0.635944426,0.9,0,1,anomaly,Scaling
39:38.3,5.516435185,5.81,0.3,2.450000048,3,-0.228710458,0.9,0,1,anomaly,Scaling
39:43.5,5.300925926,5.81,0.3,2.450000048,3,-0.758035183,0.9,0,1,anomaly,Scaling
39:48.9,5.085416667,5.81,0.3,2.450000048,3,0.019389229,0.9,0,1,anomaly,Scaling
39:53.9,4.869907407,5.81,0.3,2.450000048,3,0.567695916,0.9,0,1,anomaly,Scaling
39:59.1,4.665740741,5.81,0.3,2.450000048,3,-0.670214772,0.9,0,1,anomaly,Scaling
40:04.3,4.461574074,5.81,0.3,2.450000048,3,0.414982557,0.9,0,1,anomaly,Scaling
40:09.2,4.246064815,5.81,0.3,2.450000048,3,0.667932689,0.9,0,1,anomaly,Scaling
40:14.2,4.053240741,5.81,0.3,2.450000048,3,-0.01762398,0.9,0,1,anomaly,Scaling
40:19.3,3.849074074,5.81,0.3,2.450000048,3,0.196059421,0.9,0,1,anomaly,Scaling
40:24.3,3.644907407,5.81,0.3,2.450000048,3,0.457226455,0.9,0,1,anomaly,Scaling
40:29.7,3.440740741,5.81,0.3,2.450000048,3,0.342096835,0.9,0,1,anomaly,Scaling
40:35.7,3.225231481,5.81,0.3,2.450000048,3,0.862037063,0.9,0,1,normal,nil
40:41.1,2.987037037,5.81,0.3,2.450000048,3,0.204166666,0.9,0,1,normal,nil
40:46.4,2.771527778,5.81,0.3,2.450000048,3,0.589814842,0.9,0,1,normal,nil
40:51.4,2.567361111,5.81,0.3,2.450000048,3,0.907407403,0.9,0,0,normal,nil
40:56.5,2.419907407,5.81,0.3,0,3,0.09074074,0.9,0,1,normal,nil
41:01.5,2.374537037,5.81,0.3,2.450000048,3,0.317592591,0.9,0,1,normal,nil
41:07.0,2.17037037,5.81,0.3,2.450000048,3,0.748611093,0.9,0,1,normal,nil
